human,mouse
VEGFD,Vegfd
TMPRSS7,Tmprss7
DNAJC19,Dnajc19
TRUB2,Trub2
SP4,Sp4
COTL1,Cotl1
CCDC171,Ccdc171
ASTL,Astl
CDK2,Cdk2
RAB3GAP1,Rab3gap1
COQ4,Coq4
SOX2,Sox2
MUC6,Muc6
SLC35A5,Slc35a5
KYAT3,Kyat3
ZBTB43,Zbtb43
TRIM66,Trim66
OLFM1,Olfm1
PYGO1,Pygo1
HIP1,Hip1
AMPD3,Ampd3
GABRD,Gabrd
OLFM3,Olfm3
DUSP2,Dusp2
DMD,Dmd
SVIL,Svil
RBMS3,Rbms3
TMEM132E,Tmem132e
FAM156A,Tmem29
SUPT5H,Supt5
ADAM10,Adam10
PRTG,Prtg
CDH2,Cdh2
CDY2A,Cdyl
BST2,Bst2
SEMA6C,Sema6c
FHL1,Fhl1
KCNF1,Kcnf1
PMEL,Pmel
NAA30,Naa30
PNPLA6,Pnpla6
TAF3,Taf3
SLC23A3,Slc23a3
XPO4,Xpo4
TPPP3,Tppp3
PLAUR,Plaur
UBE2QL1,Ube2ql1
SMCR8,Smcr8
TRAPPC8,Trappc8
FAM175A,Fam175a
VWA3A,Vwa3a
ARHGEF40,Arhgef40
SHMT1,Shmt1
TACSTD2,Tacstd2
BMX,Bmx
ZNF614,RP24-219P17.7
PDCD6IP,Pdcd6ip
CLEC7A,Clec7a
SKIV2L,Skiv2l
SYNJ1,Synj1
ANTXR1,Antxr1
NHEJ1,Nhej1
GCSAM,Gcsam
C16orf71,4930451G09Rik
KRTCAP2,Krtcap2
SNRPC,Snrpc
FAM69C,Fam69c
MRPS18C,Mrps18c
LUZP2,Luzp2
RGS19,Rgs19
OTX1,Otx1
TRIM46,Trim46
C3orf52,BC016579
ATIC,Atic
PAK2,Pak2
ZNF432,RP24-219P17.7
PIR,Pir
TEP1,Tep1
PYCARD,Pycard
SLCO4C1,Slco4c1
RNASE13,Rnase13
ATG4C,Atg4c
TMEM253,Tmem253
ANKS3,Anks3
UBE2D1,Ube2d1
C10orf67,4921504E06Rik
NDUFA4L2,Ndufa4l2
LRRC71,Lrrc71
PODXL2,Podxl2
POGK,Pogk
ZCCHC13,Zcchc13
COL20A1,Col20a1
ZDHHC1,Zdhhc1
LAMP1,Lamp1
XAF1,Xaf1
SHMT2,Shmt2
RALBP1,Ralbp1
TMCO5A,Tmco5
LPL,Lpl
ZBTB34,Zbtb34
HNRNPK,Hnrnpk
MMRN1,Mmrn1
CLTA,Clta
IDH3B,Idh3b
RDM1,Rdm1
MUC1,Muc1
CMTM1,Cmtm1
WRAP53,Wrap53
STARD7,Stard7
MYSM1,Mysm1
CCL21,Ccl21a
CCL21,Ccl21c
CCL21,Gm21541
CCL21,Ccl21b
CCL21,Gm13304
CCL21,Ccl21c
CCL21,Gm10591
CCL21,Ccl21a
CCL21,Ccl21c
UHRF1BP1,Uhrf1bp1
NELFE,Nelfe
RRM2,Rrm2
FAM205A,AC087559.3
FAM205A,Fam205a1
FAM205A,Gm2163
FAM205A,Gm21093
FAM205A,CT868723.1
FAM205A,Gm12394
FAM205A,CR974586.6
FAM205A,Fam205a2
FAM205A,Fam205a4
FAM205A,CR974586.1
FAM205A,CR974586.2
FAM205A,Fam205a2
FAM205A,Fam205a3
LRRC27,Lrrc27
PPP1R14D,Ppp1r14d
FAM171B,Fam171b
MTO1,Mto1
PDILT,Pdilt
STON1,Ston1
STON1,Gtf2a1l
ITGAV,Itgav
GNE,Gne
ARHGAP31,Arhgap31
ATP4A,Atp4a
ZNF106,Zfp106
SPINT1,Spint1
RND1,Rnd1
LHCGR,Lhcgr
ZNF184,Zfp612
DRP2,Drp2
SORBS3,Sorbs3
PDDC1,Pddc1
C6orf132,AI661453
PYDC1,Pycard
TRIM72,Trim72
IMP4,Imp4
HSPH1,Hsph1
CKLF-CMTM1,Cklf
USP9Y,Usp9y
ARHGAP17,Arhgap17
SETDB2,Setdb2
PLEKHA3,Plekha3
CKLF,Cklf
GPR139,Gpr139
SLC16A2,Slc16a2
STON1-GTF2A1L,Ston1
STON1-GTF2A1L,Gtf2a1l
SEMA4D,Sema4d
WWOX,Wwox
PPP1R26,Ppp1r26
ASB7,Asb7
ITGA1,Itga1
TOGARAM2,Fam179a
MCOLN1,Mcoln1
LMAN1L,Lman1l
FKBP11,Fkbp11
ABTB1,Abtb1
GDNF,Gdnf
PIK3R4,Pik3r4
ZMYND8,Zmynd8
C2orf71,BC027072
GTF2A1L,Ston1
GTF2A1L,Gtf2a1l
JUN,Jun
LINS1,Lins1
RBM25,Rbm25
CCDC115,Ccdc115
NCK2,Nck2
GHSR,Ghsr
CTAGE1,Mia2
FAM205C,Fam205c
KLF9,Klf9
SLC35E2,Slc35e2
CCDC65,Ccdc65
PPP3CC,Ppp3cc
PGK2,Pgk2
TNFSF10,Tnfsf10
METTL21C,Mettl21c
CCSER1,Ccser1
CPLX3,Cplx3
ARSK,Arsk
GLT6D1,Glt6d1
CDK11A,Cdk11b
DTWD1,Dtwd1
APTX,Aptx
ITGA2,Itga2
KLHL36,Klhl36
KIAA2022,C77370
GRTP1,Grtp1
NPR3,Npr3
CRKL,Crkl
CTIF,Ctif
LACTBL1,Lactbl1
GTF2H4,Gtf2h4
ZSWIM5,Zswim5
SLCO3A1,Slco3a1
ASMT,Asmt
ATP11C,Atp11c
RBAK-RBAKDN,Rbak
CATSPERG,Catsperg1
CATSPERG,Catsperg2
PARP8,Parp8
C14orf105,1700011H14Rik
FBLIM1,Fblim1
DCC,Dcc
PHF21A,Phf21a
FAM175B,Fam175b
TPST1,Tpst1
C2orf50,2410004P03Rik
CXCL6,Cxcl5
TRA2B,Tra2b
GP2,Gp2
C2orf40,1500015O10Rik
TPBG,Tpbg
ETV2,Etv2
PIAS3,Pias3
COMTD1,Comtd1
CKMT2,Ckmt2
HPDL,Hpdl
RXFP1,Rxfp1
GPR150,Gpr150
RBAK,Rbak
PHACTR1,Phactr1
VARS2,Vars2
FCER1G,Fcer1g
SLCO6A1,Slco6c1
SLCO6A1,Slco6d1
ADGRL2,Adgrl2
MN1,Mn1
PPP3CA,Ppp3ca
TFAM,Tfam
PQLC3,Pqlc3
YWHAB,Ywhab
CCDC168,Gm8251
FBXO6,Fbxo6
SPATA9,Spata9
GUCA1A,Guca1a
ITGA8,Itga8
NUDT17,Nudt17
TBC1D7,Tbc1d7
C1orf234,4930549C01Rik
SMARCAD1,Smarcad1
C16orf59,1600002H07Rik
PF4V1,Pf4
PRRC2C,Prrc2c
RFESD,Rfesd
RASGRF2,Rasgrf2
ADRA2C,Adra2c
NME9,Nme9
AUNIP,Aunip
PELO,Pelo
MICB,Mill1
MICB,Mill2
TADA1,Tada1
KCNU1,Kcnu1
APOA2,Apoa2
TET2,Tet2
ADPRHL1,Adprhl1
MTFR1L,Mtfr1l
EML1,Eml1
KCNE2,Kcne2
PHF24,Phf24
AGPAT3,Agpat3
CCDC91,Ccdc91
GPR157,Gpr157
KDM1A,Kdm1a
B3GNT7,B3gnt7
CARS,Cars
GLP2R,Glp2r
ABCC9,Abcc9
PARP14,Parp14
CCDC88A,Ccdc88a
AGMO,Agmo
ARMC8,Armc8
SLC18A1,Slc18a1
KRT222,Krt222
C15orf41,BC052040
DNAJC3,Dnajc3
LKAAEAR1,Lkaaear1
DGKH,Dgkh
OPRL1,Oprl1
PDZRN4,Pdzrn4
LUZP1,Luzp1
SMARCE1,Smarce1
CCL26,Ccl26
PTP4A2,Ptp4a2
PNPLA7,Pnpla7
QPCT,Qpct
CTBP2,Ctbp2
LCN9,Lcn9
KLF18,Zfp352
KLF18,Gm12845
NSUN2,Nsun2
MEOX2,Meox2
METTL4,Mettl4
TMBIM4,Tmbim4
ACSM5,Acsm5
H6PD,H6pd
DCUN1D1,Dcun1d1
SELENON,Selenon
SLC44A1,Slc44a1
CEPT1,Cept1
SOHLH1,Sohlh1
TEX30,Tex30
C21orf140,4930563D23Rik
SMIM11A,Smim11
FRG2,Frg2f1
SLC35A1,Slc35a1
VPS33B,Vps33b
DKC1,Dkc1
UBASH3A,Ubash3a
COQ10B,Coq10b
NSMCE4A,Nsmce4a
MYT1L,Myt1l
CCKBR,Cckbr
SRD5A1,Srd5a1
P2RX5-TAX1BP3,P2rx5
SLC35F4,Slc35f4
TPPP,Tppp
BNC2,Bnc2
CTNS,Ctns
CEP72,Cep72
MVB12A,Mvb12a
HMGB2,Hmgb2
DRAM2,Dram2
CFAP206,Cfap206
MYT1,Myt1
LLPH,Llph
ARPC2,Arpc2
HSD11B2,Hsd11b2
DDX60,Ddx60
LYSMD1,Gm9726
LYSMD1,Lysmd1
CNDP2,Cndp2
ZRANB1,Zranb1
TMOD4,Tmod4
PRKCH,Prkch
TAX1BP3,Tax1bp3
SESN1,Sesn1
EMC6,Emc6
CNGB1,Cngb1
P2RX5,P2rx5
VPS72,Vps72
USP10,Usp10
ULK2,Ulk2
LATS2,Lats2
TMEM39A,Tmem39a
FOXD4,Foxd4
PHF11,Gm6904
PHF11,Phf11d
PHF11,Phf11a
PHF11,Phf11c
PHF11,Phf11b
KCNH4,Kcnh4
UBE3D,Ube2cbp
IRX5,Irx5
RBM11,Rbm11
AGTR1,Agtr1b
AGTR1,Agtr1a
SCNM1,Scnm1
MKNK2,Mknk2
ERC1,Erc1
CADPS,Cadps
NCEH1,Nceh1
SDR42E2,Gm5737
POMP,Pomp
DHODH,Dhodh
RBBP8,Rbbp8
RNASEL,Rnasel
STAT1,Stat1
PPP2R2A,Ppp2r2a
SAG,Sag
STK26,Stk26
TNFAIP8L2,Tnfaip8l2
TMEM107,Tmem107
ITIH5,Itih5
AP4B1,Gm43064
AP4B1,Ap4b1
TMEM30B,Tmem30b
HOPX,Hopx
ARHGEF11,Arhgef11
COX7A1,Cox7a1
PIK3IP1,Pik3ip1
IRX6,Irx6
EGFLAM,Egflam
BCL2L2-PABPN1,Gm20521
AIFM3,Aifm3
GATA3,Gata3
PATZ1,Patz1
ELMO1,Elmo1
DUX4,AW822073
DUX4,Duxf3
ZDHHC11B,Zdhhc11
ISPD,Ispd
PPP1R3E,Ppp1r3e
COL6A1,Col6a1
ZNF503,Zfp503
DNM1,Dnm1
NDC80,Ndc80
CCDC9,Ccdc9
EEF2K,Eef2k
SSX7,Ssxb3
SSX7,Ssxb5
SSX7,Gm6592
SSX7,Gm21876
SSX7,Ssxb1
SSX7,Ssxb8
SSX7,Gm5751
SSX7,Ssxb2
SSX7,Gm14459
SSX7,Ssxb6
SSX7,Ssxb9
SSX7,Ssxa1
SSX7,Ssxb10
SSX7,Ssx9
HOMEZ,Homez
MUC15,Muc15
UBAP2L,Ubap2l
MFGE8,Mfge8
DDX3Y,Ddx3y
C17orf53,BC030867
BCL2L15,Bcl2l15
RNF212B,Rnf212b
SSX2,Ssxb3
SSX2,Ssxb5
SSX2,Gm6592
SSX2,Gm21876
SSX2,Ssxb1
SSX2,Ssxb8
SSX2,Gm5751
SSX2,Ssxb2
SSX2,Gm14459
SSX2,Ssxb6
SSX2,Ssxb9
SSX2,Ssxa1
SSX2,Ssxb10
SSX2,Ssx9
BIVM-ERCC5,Ercc5
KCNE1,Kcne1
ANO3,Ano3
GXYLT1,Gxylt1
CCL24,Ccl24
BORCS6,Borcs6
RSBN1,Rsbn1
SAP18,Sap18
SAP18,Sap18b
RGS16,Rgs16
BCL2L2,Bcl2l2
SSX2B,Ssxb3
SSX2B,Ssxb5
SSX2B,Gm6592
SSX2B,Gm21876
SSX2B,Ssxb1
SSX2B,Ssxb8
SSX2B,Gm5751
SSX2B,Ssxb2
SSX2B,Gm14459
SSX2B,Ssxb6
SSX2B,Ssxb9
SSX2B,Ssxa1
SSX2B,Ssxb10
SSX2B,Ssx9
HSFY1,Hsfy2
MDH1,Mdh1
DCLRE1B,Dclre1b
HIST1H2BL,Hist2h2be
MOB4,Mob4
SP7,Sp7
PABPN1,Pabpn1
UQCRHL,Uqcrh
PTPN22,Ptpn22
ERCC5,Ercc5
INTS14,Ints14
DSC3,Dsc3
NFATC4,Nfatc4
RALGPS1,Ralgps1
CDS2,Cds2
CSRNP1,Csrnp1
DCUN1D2,Dcun1d2
ASB16,Asb16
BORA,Bora
SLC46A3,Slc46a3
ETV1,Etv1
PCMTD2,Pcmtd2
CXADR,Gm1123
ITGAM,Itgam
ITGAM,Itgam
C9orf116,1700007K13Rik
ZNF808,Zfp808
OTUD1,Otud1
MRPS2,Mrps2
ZNF146,Zfp146
ILDR2,Ildr2
RNF141,Rnf141
PITPNB,Pitpnb
LZTR1,Lztr1
ZDHHC11,Zdhhc11
ORC1,Orc1
DNA2,Dna2
SPAG6,Spag6
SPAG6,Spag6l
SPEN,Spen
PPP4R1,Ppp4r1
SOSTDC1,Sostdc1
KDELC1,Kdelc1
WDPCP,Wdpcp
DIS3,Dis3
DHRSX,DHRSX
LRRC72,Lrrc72
CAPN7,Capn7
CDK5RAP1,Cdk5rap1
SP1,Sp1
MAGEH1,Mageh1
TRIP13,Trip13
USP51,Usp51
BIVM,Bivm
INPP5K,Inpp5k
RAB11A,Rab11a
TMEM44,Tmem44
BICC1,Bicc1
GLS,Gls
HAUS5,Haus5
POGLUT1,Poglut1
YAF2,Yaf2
GPR33,Gpr33
PLD4,Pld4
BRD9,Brd9
SLC24A1,Slc24a1
ITPKC,Itpkc
PNMT,Pnmt
HTRA3,Htra3
PLPPR3,Plppr3
TTC28,Ttc28
SNRPA,Gm5145
SNRPA,Snrpa
EIF5AL1,Eif5a
TNS3,Tns3
HSPE1,Hspe1
B3GLCT,B3glct
AHNAK2,Ahnak2
MAD2L2,Mad2l2
CXCL1,Cxcl3
CXCL1,Cxcl1
CXCL1,Cxcl2
SLC27A6,Slc27a6
FOXR2,Foxr2
RCVRN,Rcvrn
GLRX,Glrx
HIST1H1B,Hist1h1b
HIST1H1B,Gm6970
HSPD1,Hspd1
ANGPTL2,Angptl2
PF4,Pf4
HIST1H4J,Hist1h4h
HIST1H4J,Hist1h4a
NEO1,Neo1
HIST1H4L,Hist1h4f
COQ8B,Coq8b
HIST1H3I,Hist1h3i
GREM1,Grem1
RAD52,Rad52
MZT1,Mzt1
PPBP,Ppbp
RCAN1,Rcan1
SLC9C1,Slc9c1
RHOBTB3,Rhobtb3
PIBF1,Pibf1
HIST1H3J,Hist1h3g
CXCL5,Cxcl5
FXYD3,Fxyd3
TMCO3,Tmco3
COX6B1,Cox6b1
DOPEY1,Dopey1
FOXD3,Foxd3
FBN2,Fbn2
HCRT,Hcrt
LSG1,Lsg1
DENND4A,Dennd4a
TMEM127,Tmem127
GPR173,Gpr173
UXS1,Uxs1
ROCK2,Rock2
TRPM3,Trpm3
UPK1A,Upk1a
TOMM34,Tomm34
INAFM1,Inafm1
TMEM245,Tmem245
C5AR1,C5ar1
BRPF1,Brpf1
ABCB7,Abcb7
RRAGB,Rragb
KIAA1217,Etl4
C5AR2,C5ar2
MCCC1,Mccc1
CLIP4,Clip4
GRIN2B,Grin2b
ACE2,Ace2
PABPC1L,Pabpc1l
MLH3,Mlh3
METTL3,Mettl3
MARCKSL1,Marcksl1
HOOK1,Hook1
FRRS1L,Frrs1l
AURKB,Aurkb
COX14,Cox14
CECR2,Cecr2
TSSK3,Tssk3
PSMB5,Psmb5
ANKS1A,Anks1
C19orf54,BC024978
FAM229A,Fam229a
CERS5,Cers5
RWDD2A,Rwdd2a
ENPP6,Enpp6
PGM3,Pgm3
ST8SIA2,St8sia2
CD80,Cd80
C1orf43,4933434E20Rik
TOX4,Tox4
MOGS,Mogs
WDR44,Wdr44
RGS8,Rgs8
PCDH7,Pcdh7
TIMMDC1,Timmdc1
PWWP2B,Pwwp2b
HPCAL1,Hpcal1
SAP30,Sap30
CXCL3,Cxcl3
CXCL3,Cxcl1
CXCL3,Cxcl2
MBD2,Mbd2
INCA1,Inca1
ACAA1,Acaa1a
ACAA1,Acaa1b
SLC2A14,Slc2a3
TAF7L,Taf7l
TAF7L,4933416C03Rik
PRUNE1,Prune1
LYZL6,Lyzl6
UBE2F,Gm5434
UBE2F,Ube2f
EPB41L4B,Epb41l4b
SFTPA2,Sftpa1
RAB2B,Rab2b
SETD2,Setd2
BTG3,Gm7334
BTG3,Btg3
TOMM40L,Tomm40l
ANKRD35,Ankrd35
ACSM2A,Acsm2
CAMTA2,Camta2
TMUB2,Tmub2
CHRNA3,Chrna3
NUBPL,Nubpl
RPE65,Rpe65
CIAO1,Ciao1
DSC1,Dsc1
PRKCDBP,Prkcdbp
MTUS2,Mtus2
GFM1,Gfm1
WIPI2,Wipi2
ITGA10,Itga10
RXFP2,Rxfp2
HSPBAP1,Hspbap1
RHOV,Rhov
ASPHD1,Asphd1
CTSZ,Ctsz
FBXO39,Fbxo39
ATP6V1G2,Atp6v1g2
NR1I3,Nr1i3
MRPL41,Mrpl41
TEKT1,Tekt1
UCK1,Uck1
CROT,Crot
VPS18,Vps18
DSC2,Dsc2
CHRNA5,Chrna5
PAXBP1,Paxbp1
TMEM27,Tmem27
COL27A1,Col27a1
NFKBIL1,Nfkbil1
IRGC,Irgc1
TSPYL2,Tspyl2
KCTD13,Kctd13
MRVI1,Mrvi1
MRPL57,Mrpl57
DIRC2,Dirc2
SKA3,Ska3
GUCA1B,Guca1b
GSTT2B,Gstt2
LXN,Lxn
MRPS10,Mrps10
CIZ1,Ciz1
LGALS9B,Lgals9
CXCL2,Cxcl3
CXCL2,Cxcl1
CXCL2,Cxcl2
ODC1,Odc1
DDX39B,Ddx39b
IZUMO4,Izumo4
GPR65,Gpr65
CD2,Cd2
CMAS,Cmas
POMT1,Pomt1
IL23A,Il23a
ZBTB32,Zbtb32
TMEM39B,Tmem39b
RAPGEF2,Rapgef2
SLC27A4,Slc27a4
MRPL53,Mrpl53
ST8SIA1,St8sia1
CD28,Cd28
MGLL,Mgll
SPINK2,Spink2
CCDC80,Ccdc80
PSMB11,Psmb11
SREK1,Srek1
SFTPA1,Sftpa1
DDT,Ddt
RAPH1,Raph1
CD8A,Cd8a
HSFY2,Hsfy2
CDH24,Cdh24
ARL2BP,Arl2bp
NKX6-2,Nkx6-2
DLEC1,Dlec1
MINDY2,Fam63b
DDTL,Ddt
HSPA13,Hspa13
CREB3L1,Creb3l1
INPP5A,Inpp5a
KHDRBS1,Khdrbs1
GSTT2,Gstt2
MPP1,Mpp1
PLIN4,Plin4
TARS,Tars
PLLP,Pllp
SLC35G4,Slc35g3
CCDC142,Gm42688
CCDC142,Ccdc142
ZNF703,Zfp703
XIRP1,Xirp1
PDZD7,Pdzd7
MOB3A,Mob3a
CPB1,Cpb1
EBF4,Ebf4
CA5B,Car5b
COL11A1,Col11a1
TIMM8A,Timm8a1
MINDY3,Fam188a
MAEL,Mael
CNTLN,Cntln
SLTM,Sltm
LYVE1,Lyve1
GABRA3,Gabra3
DHX38,Dhx38
CBR4,Cbr4
CBWD1,Cbwd1
LZTS2,Lzts2
DLL4,Dll4
ANKMY2,Ankmy2
ZNF532,Zfp532
PALLD,Palld
UBE2E2,Ube2e2
CGB1,Lhb
CPA3,Cpa3
AMHR2,Amhr2
DPH7,Dph7
CGB3,Lhb
RAB33B,Rab33b
MGARP,Mgarp
FRY,Fry
CGB2,Lhb
CTCF,Ctcf
NDUFC1,Ndufc1
ATP6V1G2-DDX39B,Atp6v1g2
CHAC1,Chac1
PTGFRN,Ptgfrn
KBTBD12,Kbtbd12
CKMT1A,Ckmt1
MTHFD2L,Mthfd2l
GPR149,Gpr149
U2AF1L4,U2af1l4
U2AF1L4,U2af1l4
EXOSC6,Exosc6
DDR1,Ddr1
SLC5A12,Slc5a12
SCRG1,Scrg1
HAUS2,Haus2
ZWILCH,Zwilch
IRF2,Irf2
CLIC6,Clic6
NAA15,Naa15
FSD1L,Fsd1l
HMGN1,Hmgn1
HPR,Hp
STAM2,Stam2
CTLA4,Ctla4
SCLY,Scly
ERGIC2,Ergic2
ETV3,Etv3
AARS,Aars
HP,Hp
PHYHIPL,Phyhipl
SH3GL2,Sh3gl2
FGFRL1,Fgfrl1
IGFLR1,Igflr1
RBM8A,Rbm8a
TRIM54,Trim54
RNF111,Rnf111
SLC25A18,Slc25a18
FAM13C,Fam13c
SCUBE3,Scube3
LIN37,Lin37
GABRQ,Gabrq
RCBTB1,Rcbtb1
FKTN,Fktn
MMP2,Mmp2
NOA1,Noa1
UCN,Ucn
RBM6,Rbm6
C21orf91,D16Ertd472e
FANCG,Fancg
KMT2B,Kmt2b
PEX11B,Pex11b
PEX11B,Gm42957
ICOS,Icos
PROKR2,Prokr2
DGKD,Dgkd
POLI,Poli
CX3CR1,Cx3cr1
FAR2,Far2
CD101,Cd101
ANKRD34A,Ankrd34a
LIX1L,Lix1l
PLIN2,Plin2
POLR2B,Polr2b
PIP4K2A,Pip4k2a
CCL15-CCL14,Ccl6
CCL15-CCL14,Ccl9
CHRNB4,Chrnb4
POLR3GL,Polr3gl
DRG1,Drg1
ACVR2A,Acvr2a
CCL15,Ccl6
CCL15,Ccl9
CLASP1,Clasp1
CGB5,Lhb
ABI2,Abi2
TOPBP1,Topbp1
CGB8,Lhb
PSENEN,Psenen
CMTM2,Cmtm2a
CMTM2,Cmtm2b
RPL4,Rpl4
BZW2,Bzw2
CCL22,Ccl22
TEPP,Tepp
ATXN2L,Atxn2l
SPRED1,Spred1
DGKG,Dgkg
SFI1,Sfi1
CRISPLD2,Crispld2
MBD5,Mbd5
GDF10,Gdf10
URM1,Urm1
HS3ST3A1,Hs3st3b1
HS3ST3A1,Hs3st3a1
GDF2,Gdf2
ARAP2,Arap2
DCP2,Dcp2
RBP3,Rbp3
SLC44A2,Slc44a2
DHX34,Dhx34
SPSB1,Spsb1
CCR8,Ccr8
CGB7,Lhb
ZNF488,Zfp488
ECT2,Ect2
BTK,Btk
FAM174B,Fam174b
NTF4,Ntf5
DSG4,Dsg4
UBE2E1,Ube2e1
DNAJB5,Dnajb5
SLC25A16,Slc25a16
MAGEA3,Magea1
MAGEA3,Magea10
MAGEA3,Magea8
MAGEA3,Magea2
MAGEA3,Magea6
MAGEA3,3830417A13Rik
MAGEA3,1700080O16Rik
MAGEA3,Magea3
MAGEA3,Magea5
MAGEA3,Magea4
PIP5K1C,Pip5k1c
ARHGAP5,Arhgap5
MCC,Mcc
CX3CL1,Cx3cl1
GSTTP1,Gstt4
SLC25A38,Slc25a38
USB1,Usb1
AVPR1B,Avpr1b
CYP2J2,Cyp2j7
CYP2J2,Cyp2j11
CYP2J2,Cyp2j12
CYP2J2,Cyp2j5
CYP2J2,Cyp2j6
CYP2J2,Cyp2j9
CYP2J2,Cyp2j8
CYP2J2,Cyp2j13
ATPIF1,Atpif1
DSG1,Dsg1b
DSG1,Dsg1c
DSG1,Dsg1a
LCTL,Lctl
DUSP27,Dusp27
GPA33,Gpa33
CDC42EP3,Cdc42ep3
ALDH8A1,Aldh8a1
CYBRD1,Cybrd1
REST,Rest
PRKCZ,Prkcz
COL4A6,Col4a6
ANXA8,Anxa8
GTF2H1,Gtf2h1
ORC4,Orc4
SLC25A33,Slc25a33
KANTR,Kantr
ALK,Alk
NCOA5,Ncoa5
E2F6,E2f6
ETV5,Etv5
COX10,Cox10
PFAS,Pfas
HPGDS,Hpgds
SMAD7,Smad7
STAT2,Stat2
TSSK1B,Tssk1
GADL1,Gadl1
ZNF319,Zfp319
CHD4,Chd4
CD200R1L,Cd200r2
CD200R1L,Cd200r1
CD200R1L,Cd200r3
CD200R1L,Cd200r4
ATP6V0D1,Atp6v0d1
C10orf11,1700112E06Rik
PMFBP1,Pmfbp1
LAMP3,Lamp3
RHBDD2,Rhbdd2
PTPN3,Ptpn3
IGFBP7,Igfbp7
RBM5,Rbm5
TSPO,Tspo
TTF2,Ttf2
FAM20C,Fam20c
MEIS2,Meis2
C1orf87,Gm12695
CTC1,Ctc1
C19orf68,6330408A02Rik
GFPT1,Gfpt1
GHDC,Ghdc
NIT2,Nit2
GDPD2,Gdpd2
FIBIN,Fibin
CCL17,Ccl17
MUC17,Muc3
UGGT2,Uggt2
UBR2,Ubr2
CD200R1,Cd200r2
CD200R1,Cd200r1
CD200R1,Cd200r3
CD200R1,Cd200r4
PEAK1,Peak1
BBOX1,Bbox1
ZNF248,Zfp248
MUTYH,Mutyh
TXNL4B,Txnl4b
CARMIL2,Carmil2
CEND1,Cend1
MYOC,Myoc
EIF4ENIF1,Eif4enif1
SMG9,Smg9
DEPDC1,Depdc1a
GLA,Gla
MAD2L1BP,Mad2l1bp
ATP8B4,Atp8b4
PPP2R1A,Ppp2r1a
MOV10,Mov10
RARS2,Rars2
FAM72A,Fam72a
SESN2,Sesn2
ZCCHC11,Zcchc11
ACSM2B,Acsm2
SMPD1,Smpd1
SRGAP2,Srgap2
WNT10B,Wnt10b
MFSD1,Mfsd1
ACD,Acd
INSM1,Insm1
HNRNPH2,Hnrnph2
PRR15,Prr15
ERBB2,Erbb2
OR2B2,Olfr1359
OR2B2,Olfr1360
SEMA3F,Sema3f
PRMT1,Prmt1
CABIN1,Cabin1
MED18,Med18
OR2B6,Olfr11
GADD45G,Gadd45g
WNT1,Wnt1
INO80,Ino80
GPCPD1,Gpcpd1
ATP5E,Atp5e
IPO5,Ipo5
RAB8B,Rab8b
TUBB1,Tubb1
CSTF1,Cstf1
WDR19,Wdr19
SEMA5B,Sema5b
PISD,Gm20671
PISD,Pisd
TIMM50,Timm50
SLC27A2,Slc27a2
SNAP23,Snap23
PNMA2,Pnma2
MEP1B,Mep1b
MRPS18A,Mrps18a
UNKL,Gm5819
UNKL,Unkl
BNIP3L,Bnip3l
C17orf49,0610010K14Rik
RNF138,Rnf138
TRMT44,Trmt44
CCER1,Ccer1
RSPH9,Rsph9
TMEM219,Tmem219
TRIM56,Trim56
PRPF38A,Prpf38a
RAD51B,Rad51b
HTR7,Htr7
NKX2-3,Nkx2-3
ARMC1,Armc1
RNF125,Rnf125
ACOX3,Acox3
MPPE1,Mppe1
RNF212,Rnf212
SLC25A28,Slc25a28
GAREM1,Garem1
RNASEK-C17orf49,0610010K14Rik
BNIPL,Bnipl
BAIAP3,Baiap3
C20orf196,1110034G24Rik
LNP1,Lnp1
DPYSL2,Dpysl2
DNAJA1,Dnaja1
PGAP3,Pgap3
PPA2,Ppa2
TOMM70,Tomm70a
RNF149,Rnf149
PDLIM5,Pdlim5
RARRES1,Rarres1
FAM98B,Fam98b
KCNK10,Kcnk10
EPYC,Epyc
TMED10,Tmed10
GBP7,Gbp7
GBP7,Gbp3
GBP2,Gbp2b
GBP2,Gbp2
ACOT1,Acot2
ACOT1,Acot5
ACOT1,Acot1
ACOT1,Acot3
ERLIN2,Erlin2
CPT1C,Cpt1c
TRAPPC10,Trappc10
DDN,Ddn
NEK9,Nek9
MAGEA2B,Magea1
MAGEA2B,Magea10
MAGEA2B,Magea8
MAGEA2B,Magea2
MAGEA2B,Magea6
MAGEA2B,3830417A13Rik
MAGEA2B,1700080O16Rik
MAGEA2B,Magea3
MAGEA2B,Magea5
MAGEA2B,Magea4
HEATR4,Heatr4
TTLL12,Ttll12
SYNE3,Syne3
C14orf79,BC022687
PAM,Pam
KMT2D,Kmt2d
TET1,Tet1
MIEN1,Mien1
ALOX12,Alox12
HAND2,Hand2
NUTM2G,Nutm2
AKAP10,Akap10
RIOX1,Riox1
KCNA7,Kcna7
MT4,Mt4
CDCA4,Cdca4
PITPNA,Pitpna
SERPINE1,Serpine1
RPSA,Rpsa
MFSD14C,Mfsd14b
ZC2HC1C,Zc2hc1c
PRR14,Prr14
MEIS3,Meis3
PRICKLE1,Prickle1
SLC29A4,Slc29a4
NCL,Ncl
CBR3,Cbr3
KERA,Kera
RNASEK,Rnasek
RNASEK,Gm21988
ACYP1,Acyp1
BSDC1,Bsdc1
DOPEY2,Dopey2
PRKAG1,Prkag1
